Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens,Ancestors
39000,19,87,4436.238095238095,113.08428571428568,8.238095238095237,3.952380952380953,158.61904761904762,122.57142857142857,24.523809523809533,52.5,5.666666666666668,"[24005, 11009, 11006, 10006, 8007, 6008, 6007, 5008, 3007, 2010, 2009, 2008, 2006, 1009, 10, 9, 8, 8, 8, 7, 6]","[3, 7, 4, 4, 5, 6, 5, 6, 5, 8, 7, 6, 4, 7, 8, 7, 6, 6, 6, 5, 4]","[[([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 130, 33], 5), ([10, 4, 151, 128, 33], 6), ([10, 4, 151, 128, 30], 7)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 138, 120, 23], 2), ([10, 4, 138, 120, 27], 3), ([10, 4, 142, 120, 27], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 174, 120, 22], 4), ([10, 5, 174, 120, 22], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 174, 120, 22], 4), ([10, 5, 174, 120, 22], 5), ([10, 5, 174, 135, 22], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 138, 120, 23], 2), ([10, 4, 138, 120, 27], 3), ([10, 4, 142, 120, 27], 4), ([9, 4, 142, 120, 27], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 174, 120, 22], 4), ([10, 4, 174, 120, 23], 5), ([10, 4, 174, 132, 23], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4), ([5, 3, 151, 120, 24], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 130, 33], 5), ([10, 4, 151, 128, 33], 6), ([10, 4, 151, 128, 30], 7), ([8, 4, 151, 128, 30], 8)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4), ([5, 3, 151, 120, 24], 5), ([5, 3, 164, 120, 24], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 161, 128, 22], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4), ([5, 3, 151, 120, 24], 5), ([5, 3, 164, 120, 24], 6), ([5, 3, 164, 100, 24], 7)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 174, 120, 22], 4), ([10, 5, 174, 120, 22], 5), ([8, 5, 174, 120, 22], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 138, 120, 23], 2), ([10, 4, 138, 120, 27], 3), ([10, 4, 142, 120, 27], 4), ([9, 4, 142, 120, 27], 5), ([9, 4, 142, 120, 29], 6)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4), ([8, 3, 144, 120, 24], 5)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 23], 3), ([10, 4, 161, 105, 23], 4)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 4, 151, 113, 28], 2), ([10, 4, 151, 113, 33], 3), ([10, 4, 151, 113, 33], 4), ([10, 4, 151, 130, 33], 5), ([10, 4, 151, 128, 33], 6), ([10, 4, 151, 128, 30], 7), ([8, 4, 151, 128, 30], 8), ([8, 4, 136, 128, 30], 9)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1), ([10, 4, 161, 120, 23], 2), ([10, 4, 161, 120, 22], 3), ([10, 4, 174, 120, 22], 4), ([10, 4, 174, 120, 23], 5), ([10, 4, 174, 132, 23], 6), ([10, 4, 174, 132, 21], 7)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2), ([10, 3, 151, 120, 24], 3), ([8, 3, 151, 120, 24], 4), ([8, 3, 144, 120, 24], 5), ([12, 3, 144, 120, 24], 6)]]"
40000,19,87,4376.210526315789,110.66052631578943,8.684210526315791,3.842105263157895,156.5263157894737,121.89473684210527,24.842105263157894,52.657894736842096,5.789473684210527,"[12009, 12006, 11006, 9007, 7008, 7007, 6008, 4007, 3010, 3008, 3006, 2009, 1008, 1008, 1007, 1006, 11, 9, 8]","[7, 4, 4, 5, 6, 5, 6, 5, 8, 6, 4, 7, 6, 6, 5, 4, 9, 7, 6]",[]
41000,15,92,4807.933333333333,140.2876666666671,8.733333333333333,3.8666666666666663,158.2,121.4,24.8,52.73333333333333,5.933333333333334,"[13009, 13006, 8008, 8007, 7008, 4010, 4008, 4006, 3009, 2008, 2007, 2006, 1011, 1009, 7]","[7, 4, 6, 5, 6, 8, 6, 4, 7, 6, 5, 4, 9, 7, 5]",[]
42000,18,94,4619.61111111111,124.33166666666669,8.333333333333334,3.9444444444444446,156.11111111111111,125.0,25.33333333333333,52.33333333333334,6.5,"[14009, 14006, 9008, 9007, 8008, 5010, 5008, 5006, 4009, 3008, 3007, 2011, 2009, 12, 11, 9, 8, 7]","[7, 4, 6, 5, 6, 8, 6, 4, 7, 6, 5, 9, 7, 10, 9, 7, 6, 5]",[]
43000,14,101,3508.857142857143,132.55928571428566,8.285714285714286,3.6428571428571432,152.92857142857142,123.14285714285714,25.57142857142857,48.10714285714285,6.857142857142858,"[15009, 6010, 6008, 6006, 5009, 4007, 3009, 1012, 1011, 1008, 1007, 12, 9, 7]","[7, 8, 6, 4, 7, 5, 7, 10, 9, 6, 5, 10, 7, 5]",[]
44000,15,103,3808.5333333333333,131.21799999999993,8.533333333333333,3.533333333333333,153.6,121.86666666666666,25.466666666666665,48.1,6.533333333333332,"[16009, 7010, 7008, 7006, 6009, 5007, 2011, 2008, 2007, 1012, 1009, 1007, 10, 8, 7]","[7, 8, 6, 4, 7, 5, 9, 6, 5, 10, 7, 5, 8, 6, 5]",[]
45000,17,105,3891.2941176470586,130.73470588235296,8.529411764705884,3.4705882352941178,154.47058823529414,122.23529411764706,25.588235294117645,47.5,6.941176470588236,"[17009, 8010, 8008, 8006, 7009, 6007, 3011, 2012, 2009, 2007, 1010, 1008, 1007, 12, 10, 10, 7]","[7, 8, 6, 4, 7, 5, 9, 10, 7, 5, 8, 6, 5, 10, 8, 8, 5]",[]
46000,16,109,3884.5,128.65812499999996,9.0625,3.5,154.0625,123.25,27.25,50.9375,7.5,"[18009, 9010, 9006, 7007, 4011, 3012, 3007, 2010, 2008, 2007, 1012, 1010, 1010, 12, 11, 10]","[7, 8, 4, 5, 9, 10, 5, 8, 6, 5, 10, 8, 8, 10, 9, 8]",[]
47000,15,113,4209.4,140.15033333333312,9.2,3.6666666666666665,154.73333333333332,123.4,26.93333333333333,52.76666666666666,7.4,"[19009, 10006, 8007, 5011, 4012, 4007, 3010, 3008, 3007, 2010, 1012, 1010, 13, 11, 8]","[7, 4, 5, 9, 10, 5, 8, 6, 5, 8, 10, 8, 11, 9, 6]",[]
48000,20,113,3909.3,132.36999999999995,9.65,3.7,156.75,121.5,26.0,55.025,7.3,"[20009, 11006, 9007, 6011, 5012, 5007, 4010, 4008, 4007, 3010, 2012, 2010, 1013, 1011, 1008, 12, 9, 9, 8, 7]","[7, 4, 5, 9, 10, 5, 8, 6, 5, 8, 10, 8, 11, 9, 6, 10, 7, 7, 6, 5]",[]
